field,dtype,drop,orig_name
ID_jl,str,0
jl_end_date,str,0,measurement.recording.stop_date
jl_end_time,str,0,measurement.recording.stop_time
jl_rec_downtime,float,0,
jl_rec_duration,float,0,
jl_rec_duration_str,str,0,
jl_rec_end,datetime64[ms],0,
jl_rec_start,datetime64[ms],0,
jl_start_date,str,0,measurement.recording.start_date
jl_start_time,str,0,measurement.recording.start_time
jl_num_of_jobs,float,0
jl_freq_sample,float,0,measurement.recording.input.Hardware.global_config.sample_freq
jl_freq_base,float,0,measurement.recording.input.TXM22Hardware.Sequence.TransmissionList.Cycle.BaseFrequency
