ID_site,site_x,site_y
418,-17.89528613,28.60857499
420,-17.88833054,28.63073334
518,-17.88096666,28.60523889
521,-17.88634165,28.63726388
522,-17.88227777,28.64281667
605,-17.87067448,28.49392815
606,-17.87134444,28.500925
620,-17.87106112,28.62755277
621,-17.87477777,28.64051667
622,-17.87148889,28.64826111
704,-17.86085555,28.48403889
705,-17.86175333,28.49131667
706,-17.86205069,28.49971705
707,-17.86811667,28.51119167
720,-17.86115834,28.62737778
721,-17.86253727,28.6363336
722,-17.86204167,28.64567223
803,-17.85384722,28.47523056
804,-17.84598612,28.48619724
805,-17.85021944,28.4925
806,-17.85015554,28.50225556
807,-17.85188888,28.51057222
808,-17.85026833,28.520085
819,-17.84988334,28.61628612
820,-17.85016945,28.62599722
821,-17.85139166,28.63595556
822,-17.85039444,28.64588889
823,-17.85136944,28.65491389
903,-17.840275,28.47418332
904,-17.84105279,28.48161112
905,-17.84060278,28.49200835
906,-17.84200167,28.50076833
907,-17.84136666,28.50941667
908,-17.84130556,28.51836388
919,-17.84109165,28.6150611
920,-17.84251667,28.62810278
921,-17.84451112,28.63708337
922,-17.84196667,28.64504166
923,-17.84212778,28.65766388
924,-17.84713335,28.66428055
1003,-17.8315223,28.47439742
1004,-17.831501,28.484365
1005,-17.83094444,28.49223333
1006,-17.83145,28.50158055
1007,-17.830745,28.50917
1008,-17.83141944,28.51698056
1015,-17.82694444,28.57722222
1016,-17.83111111,28.59111111
1017,-17.83111111,28.6
1018,-17.8326861,28.60914444
1019,-17.83377222,28.61498889
1020,-17.83538889,28.62919722
1021,-17.83199442,28.63516942
1022,-17.83250833,28.64330555
1023,-17.83375833,28.65797778
1024,-17.83755555,28.66629445
1034,-17.83254722,28.48092501
1045,-17.83566666,28.48633612
1104,-17.82577595,28.48061548
1105,-17.82429999,28.49318611
1106,-17.82204446,28.501375
1107,-17.82244333,28.51056167
1115,-17.82138889,28.58222222
1116,-17.82111111,28.59138889
1117,-17.81777778,28.59666667
1118,-17.82,28.60972222
1119,-17.82316813,28.61807623
1145,-17.82658888,28.48685279
1216,-17.81215143,28.59035989
1217,-17.81138889,28.59805556
1218,-17.81472222,28.60888889
1220,-17.80808789,28.62551043
1221,-17.80945749,28.63437186
1315,-17.80638889,28.58361111
1317,-17.799667,28.603027
1320,-17.80236944,28.62801389
1321,-17.80101111,28.63775278
1417,-17.788657,28.601152
1418,-17.787777,28.609442
1420,-17.79009633,28.62595531
1517,-17.781892,28.600924
7807,-17.86056388,28.50978334
9999,-16.5369647,28.2859221
1215,-17.816255,28.5797501
